contract_id,source_keys,source_record_ids,lifecycle_status,contract_vehicle,piid,parent_award_id,solicitation_number,title,agency,subagency,office,vendor_key,vendor_name,uei_sam,incumbent_vendor_key,competitor_flag,gwt_relation,known_bid_status,award_date,period_start_date,period_end_date,potential_end_date,recompete_window_start,days_until_end,award_amount,current_total_value,potential_total_value,predictive_value_usd,program_focus,topic_keys,importance_score,score_evidence_json,source_urls,last_checked_at
contract-lifecycle-4a03635d0b5dae33,usaspending,CONT_AWD_91003125C0011_9100_-NONE-_-NONE-,near_expiry,standalone_award,91003125C0011,,,"THE PURPOSE OF DMCS IS TO MANAGE THE DEFAULT LOAN PORTFOLIO, AND STORE, MANAGE, PROTECT, AND PROVIDE STUDENT LOAN DEBTORS IN DEFAULT AVAILABLE INFORMATION UNDER THE HEA. DMCS ENABLES BORROWERS, WHO SO CHOSE, TO MAKE PAYMENTS ON THEIR ACCOUNTS AND SEN",Department of Education,Department of Education,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2025-02-01,2026-07-31,2026-07-31,2023-07-31,7,269052314,269052314,,,unknown,,78,"{""agency"":""Department of Education"",""award_amount"":269052314,""days_until_end"":7,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":45,""subagency"":""Department of Education"",""topic_hits"":[],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-a42af0f699e6ec00,usaspending,CONT_AWD_75FCMC22F0001_7530_HHSM500200400007I_7530,near_expiry,task_order,75FCMC22F0001,HHSM500200400007I,,PART C QUALIFIED INDEPENDENT CONTRACTOR (QIC) AWARD,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2022-04-13,2026-07-31,2026-07-31,2023-07-31,7,108406089,108406089,,,medicaid,medicaid;medicare;cms,100,"{""agency"":""Department of Health and Human Services"",""award_amount"":108406089,""days_until_end"":7,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[""Medicaid"",""Medicare""],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":61,""subagency"":""Centers for Medicare and Medicaid Services"",""topic_hits"":[""medicaid"",""medicare"",""cms""],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-20b9a10d49f76ef9,usaspending,CONT_AWD_75D30124F00001_7523_75D30124D19336_7523,near_expiry,task_order,75D30124F00001,75D30124D19336,,IMMUNIZATION INFORMATION SERVICES IDIQ,Department of Health and Human Services,Centers for Disease Control and Prevention,,gainwell_technologies,GAINWELL TECHNOLOGIES LLC,,gainwell_technologies,false,self,incumbent,,2024-08-30,2026-08-28,2026-08-28,2023-08-28,35,3604500,3604500,,,unknown,,67,"{""agency"":""Department of Health and Human Services"",""award_amount"":3604500,""days_until_end"":35,""gwt_relation"":""self"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""GAINWELL TECHNOLOGIES LLC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":37,""subagency"":""Centers for Disease Control and Prevention"",""topic_hits"":[],""vendor_key"":""gainwell_technologies""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-45aa915c10ecc3c8,usaspending,CONT_AWD_91003124F0317_9100_91003123D0001_9100,near_expiry,task_order,91003124F0317,91003123D0001,,OPERATIONS AND MAINTENANCE (O&M) TASK ORDER FOR STUDENT LOAN SERVICING IN ACCORDANCE WITH THE REQUIREMENTS OF THE USDS CONTRACT. ALL WORK AND DELIVERABLES PROVIDED MUST BE IN ACCORDANCE WITH THE REQUIREMENTS OF THE CONTRACT FOR THE TASK ORDER.,Department of Education,Department of Education,,maximus,MAXIMUS EDUCATION LLC,,maximus,true,competitor,competitor_awarded,,2024-07-01,2026-08-29,2026-08-29,2023-08-29,36,303129964,303129964,,,unknown,,78,"{""agency"":""Department of Education"",""award_amount"":303129964,""days_until_end"":36,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":45,""subagency"":""Department of Education"",""topic_hits"":[],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-467c7b777fae24b7,usaspending,CONT_AWD_75D30122F14285_7523_GS35F685GA_4732,near_expiry,task_order,75D30122F14285,GS35F685GA,,CDC INFO,Department of Health and Human Services,Centers for Disease Control and Prevention,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2022-09-01,2026-08-31,2026-08-31,2023-08-31,38,71229539,71229539,,,unknown,,82,"{""agency"":""Department of Health and Human Services"",""award_amount"":71229539,""days_until_end"":38,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":45,""subagency"":""Centers for Disease Control and Prevention"",""topic_hits"":[],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-9383302259b00d25,usaspending,CONT_AWD_70T02023F7500N004_7013_47QTCK18D0044_4732,near_expiry,task_order,70T02023F7500N004,47QTCK18D0044,,"OPERATIONS, TECHNOLOGY, INNOVATION, AND MANAGEMENT (OPTIMA) SUPPORT SERVICES OF ALL TRANSPORTATION SECURITY ADMINISTRATION / INFORMATION TECHNOLOGY / TECHNOLOGY SOLUTIONS DIVISION MISSION ESSENTIAL SYSTEMS IN VARIOUS LOCATIONS.",Department of Homeland Security,Transportation Security Administration,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2023-06-01,2026-09-05,2026-09-05,2023-09-05,43,52912424,52912424,,,unknown,,78,"{""agency"":""Department of Homeland Security"",""award_amount"":52912424,""days_until_end"":43,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":45,""subagency"":""Transportation Security Administration"",""topic_hits"":[],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-2172984f46b1551e,usaspending,CONT_AWD_75FCMC22C0038_7530_-NONE-_-NONE-,near_expiry,standalone_award,75FCMC22C0038,,,CONTACT CENTER OPERATIONS,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2022-08-31,2026-09-10,2026-09-10,2023-09-10,48,2779736793,2779736793,,,medicaid,medicaid;medicare;cms;contact_center,100,"{""agency"":""Department of Health and Human Services"",""award_amount"":2779736793,""days_until_end"":48,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[""contact center"",""Medicaid"",""Medicare""],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":69,""subagency"":""Centers for Medicare and Medicaid Services"",""topic_hits"":[""medicaid"",""medicare"",""cms"",""contact_center""],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-3fe18815abea5565,usaspending,CONT_AWD_75FCMC23F0107_7530_GS10F0085Y_4732,near_expiry,task_order,75FCMC23F0107,GS10F0085Y,,ELIGIBILITY APPEALS OPERATIONAL SUPPORT (EAOS),Department of Health and Human Services,Centers for Medicare and Medicaid Services,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2023-07-24,2026-09-24,2026-09-24,2023-09-24,62,116236910,116236910,,,medicaid,medicaid;medicare;cms;eligibility,100,"{""agency"":""Department of Health and Human Services"",""award_amount"":116236910,""days_until_end"":62,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":69,""subagency"":""Centers for Medicare and Medicaid Services"",""topic_hits"":[""medicaid"",""medicare"",""cms"",""eligibility""],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-1aa1a7b0cd7a92c8,usaspending,CONT_AWD_2032H521F00346_2050_47QTCK18D0044_4732,near_expiry,task_order,2032H521F00346,47QTCK18D0044,,MASTERFILE SYSTEM PROGRAMMING SUPPORT SERVICES COVID-19,Department of the Treasury,Internal Revenue Service,,maximus,"MAXIMUS FEDERAL SERVICES, INC.",,maximus,true,competitor,competitor_awarded,,2021-06-01,2026-11-30,2026-11-30,2023-11-30,129,112456030,112456030,,,unknown,,78,"{""agency"":""Department of the Treasury"",""award_amount"":112456030,""days_until_end"":129,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":45,""subagency"":""Internal Revenue Service"",""topic_hits"":[],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
contract-lifecycle-cedc09ae2f7e4351,usaspending,CONT_AWD_50310221F0112_5000_50310218D0027_5000,near_expiry,task_order,50310221F0112,50310218D0027,,SEC ENTERPRISE EDGAR SYSTEM SUPPORT SERVICES,Securities and Exchange Commission,Securities and Exchange Commission,,maximus,"MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC",,maximus,true,competitor,competitor_awarded,,2021-09-27,2026-12-15,2026-12-15,2023-12-15,144,159485592,159485592,,,medicaid,mmis,86,"{""agency"":""Securities and Exchange Commission"",""award_amount"":159485592,""days_until_end"":144,""gwt_relation"":""competitor"",""join_confidence"":""usaspending_only_no_sam_entity_match"",""matched_keywords"":[""MMIS""],""matched_vendor_alias"":""MAXIMUS FEDERAL SERVICES INC"",""missing_join_inputs"":[""data/sam_contract_awards.csv"",""data/federal_opportunities.csv"",""data/vendor_entities.csv""],""recompete_signal"":""Expiring soon"",""recompete_window_months"":36,""source_file"":""data/contracts.csv"",""source_key"":""usaspending"",""source_relevance_score"":53,""subagency"":""Securities and Exchange Commission"",""topic_hits"":[""mmis""],""vendor_key"":""maximus""}",https://www.usaspending.gov/search/,2026-07-24T04:07:55Z
