id,title,state,agency,source,source_url,document_url,document_type,due_date,posted_date,last_checked_at,last_updated_at,budget_estimate,eligibility,eligibility_reason,fit_score,ai_recommendation,status,program_focus,keywords_matched,risks,summary
sam-c1f08ca8ee7343a0b86db8b1302a80bf,REQUEST FOR INFORMATION (RFI) - Intelligent Coding Assistance Tool,Federal,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.CENTERS FOR MEDICARE AND MEDICAID SERVICES.OFC OF ACQUISITION AND GRANTS MGMT",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/c1f08ca8ee7343a0b86db8b1302a80bf/view,Sources Sought,2026-08-20,2026-07-22,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,100,Pursue,Unreviewed,Procurement;Medicaid;CMS/Medicare,grant;medicaid;medicare;RFI;sources sought,Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c1f08ca8ee7343a0b86db8b1302a80bf
sam-d59c560660b147269c63ea56f13d7fec,"Data Analysis for Quality, Safety & Oversight of the End Stage Renal Disease (ESRD), Transplant, and Organ Procurement Organization (OPO) Programs",Federal,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.CENTERS FOR MEDICARE AND MEDICAID SERVICES.OFC OF ACQUISITION AND GRANTS MGMT",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/d59c560660b147269c63ea56f13d7fec/view,Solicitation,2026-08-13,2026-07-22,2026-07-26T14:18:11Z,2026-07-26T14:18:11Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,95,Pursue,Unreviewed,Procurement;Medicaid;CMS/Medicare,grant;medicaid;medicare;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d59c560660b147269c63ea56f13d7fec
opp-001,Rural Health Data Analytics Platform RFP,Texas,Texas Health and Human Services,Texas Procurement Portal,https://example.com/texas-rfp,https://example.com/texas-rfp.pdf,RFP,2026-08-15,2026-07-01,2026-07-02T10:30:00Z,2026-07-02T11:15:00Z,3500000,Likely Eligible,Opportunity allows vendors with Medicaid analytics experience.,87,Pursue,Unreviewed,Data Analytics;Interoperability;Population Health,FHIR APIs;population health dashboards;risk stratification,Short response window;Budget not explicitly stated,"This opportunity aligns strongly with rural health analytics, Medicaid interoperability, and population health reporting capabilities."
sam-f670578d95d3476b94e64d7cea93cd14,Columbia Landscape & Snow Services,Federal,FEDERAL COMMUNICATIONS COMMISSION.FEDERAL COMMUNICATIONS COMMISSION.FCC,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/f670578d95d3476b94e64d7cea93cd14/view,Combined Synopsis/Solicitation,2026-08-06,2026-07-24,2026-07-26T14:18:18Z,2026-07-26T14:18:18Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f670578d95d3476b94e64d7cea93cd14
sam-28df721a17a74d06933ba79d4281f848,NIWTP Ingress Road Paving,Federal,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNAT BOUNDARY AND WATER COMM,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/28df721a17a74d06933ba79d4281f848/view,Presolicitation,2026-08-08,2026-07-24,2026-07-26T14:18:22Z,2026-07-26T14:18:22Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=28df721a17a74d06933ba79d4281f848
sam-e17105dab2844519a2259575504886d9,Sustainable Demolition Utilizing Deconstruction of a Decommissioned U.S. Ground-Based Radar Facility,Federal,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.PEO SPACE DOMAIN AWARENESS ANDCOMBAT POWER.FA8820 SUSTAINMENT SDACP SSC/PKL,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/e17105dab2844519a2259575504886d9/view,Sources Sought,2026-08-13,2026-07-23,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;sources sought;SPA,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e17105dab2844519a2259575504886d9
sam-d9a4d61c29594398ba6dbf631692328a,LE VEHICLE UPFITS and DECOMMISSION,Federal,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.MONTANA STATE OFFICE",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/d9a4d61c29594398ba6dbf631692328a/view,Solicitation,2026-08-11,2026-07-22,2026-07-26T14:18:11Z,2026-07-26T14:18:11Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d9a4d61c29594398ba6dbf631692328a
sam-2cfdf63486f54af6a4b831afaff604ed,"17829397-Decommission & Demo CRAC Units at B3001, Annex G, Tinker AFB",Federal,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8137 AFSC PZIOC,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/2cfdf63486f54af6a4b831afaff604ed/view,Presolicitation,2026-08-07,2026-07-22,2026-07-26T14:18:22Z,2026-07-26T14:18:22Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2cfdf63486f54af6a4b831afaff604ed
sam-630420cb57934e5589f93fc9c5e80ac4,Z2DA--541-25-501 Address Retro Commissioning - Construction Procurement Package (VA-26-00053441) - VAMC CLEVELAND,Federal,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.250-NETWORK CONTRACT OFFICE 10 (36C250)",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/630420cb57934e5589f93fc9c5e80ac4/view,Presolicitation,2026-08-12,2026-07-13,2026-07-26T14:18:22Z,2026-07-26T14:18:22Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,83,Pursue,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=630420cb57934e5589f93fc9c5e80ac4
sam-72ab64a7a8fe465ba23b4bfa6df0873c,Trojan UV3000 Plus System Rehabilitation,Federal,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNAT BOUNDARY AND WATER COMM,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/72ab64a7a8fe465ba23b4bfa6df0873c/view,Sources Sought,2026-08-04,2026-07-25,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,81,Pursue,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=72ab64a7a8fe465ba23b4bfa6df0873c
sam-162f48f9d13c499da097ec941b7196e0,Geotechnical and Structural Document Review for LNG Facilities,Federal,"ENERGY, DEPARTMENT OF.FEDERAL ENERGY REGULATORY COMMISSION.FEDERAL ENERGY REGULATORY COMM",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/162f48f9d13c499da097ec941b7196e0/view,Sources Sought,2026-07-31,2026-07-22,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,81,Pursue,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=162f48f9d13c499da097ec941b7196e0
sam-88bf126d92e848abbd3499e4ac114b38,3-in-1 Credit Reporting,Federal,SECURITIES AND EXCHANGE COMMISSION.SECURITIES AND EXCHANGE COMMISSION.SECURITIES AND EXCHANGE COMMISSION,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/88bf126d92e848abbd3499e4ac114b38/view,Sources Sought,2026-07-29,2026-07-21,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,81,Pursue,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=88bf126d92e848abbd3499e4ac114b38
sam-9fe3f2d1fe104e229c0fc3d5e29fec38,Deployed Automated Cargo Measurement Systems (DACMS),Federal,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR MOBILITY COMMAND.FA4452 763 ESS,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/9fe3f2d1fe104e229c0fc3d5e29fec38/view,Sources Sought,2026-08-11,2026-07-23,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,75,Monitor,Unreviewed,Procurement;CMS/Medicare,CMS;sources sought,Short response window;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9fe3f2d1fe104e229c0fc3d5e29fec38
sam-d48fa001a79c4211b567f21ae6a7cd09,"Shelf Stocking, Recieving/Storage/Holding Area (RSHA), and Custodial Services at the Camp Pendleton MCB Commissary",Federal,DEPT OF DEFENSE.DEFENSE COMMISSARY AGENCY (DECA).DEFENSE COMMISSARY AGENCY,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/d48fa001a79c4211b567f21ae6a7cd09/view,Presolicitation,,2026-07-15,2026-07-26T14:18:22Z,2026-07-26T14:18:22Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,75,Monitor,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d48fa001a79c4211b567f21ae6a7cd09
sam-77d8621f56bc40749fc9c71bd52c1488,"Shelf Stocking, Receiving/Storage/Holding Area, and Custodial Services at the Miramar MCAS Commissary",Federal,DEPT OF DEFENSE.DEFENSE COMMISSARY AGENCY (DECA).DEFENSE COMMISSARY AGENCY,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/77d8621f56bc40749fc9c71bd52c1488/view,Presolicitation,,2026-07-15,2026-07-26T14:18:22Z,2026-07-26T14:18:22Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,75,Monitor,Unreviewed,Procurement;Medicaid,MMIS;solicitation,Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=77d8621f56bc40749fc9c71bd52c1488
opp-003,Medicaid Member Engagement Modernization,North Carolina,North Carolina Medicaid,Medicaid Procurement Site,https://example.com/nc-medicaid,https://example.com/nc-medicaid.pdf,RFI,2026-09-05,2026-06-20,2026-07-02T08:00:00Z,2026-06-30T16:20:00Z,1200000,Likely Eligible,Vendor responses are explicitly requested for market research.,74,Monitor,Unreviewed,Member Engagement;Medicaid;Digital Services,,,A useful early signal for future Medicaid modernization work though it is not yet a procurement.
sam-2fd429d78f8745d8b556033cceb9bae5,DECA A-E MATOC PROJECT,Federal,DEPT OF DEFENSE.DEFENSE COMMISSARY AGENCY (DECA).DEFENSE COMMISSARY AGENCY- EUR AREA,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/2fd429d78f8745d8b556033cceb9bae5/view,Sources Sought,2026-07-24,2026-07-20,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,73,Monitor,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Past deadline;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2fd429d78f8745d8b556033cceb9bae5
sam-b4d0e58037c14c25b00c625135895491,Sources Sought for Library Support Services,Federal,SECURITIES AND EXCHANGE COMMISSION.SECURITIES AND EXCHANGE COMMISSION.SECURITIES AND EXCHANGE COMMISSION,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/b4d0e58037c14c25b00c625135895491/view,Sources Sought,2026-07-17,2026-07-16,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,73,Monitor,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Past deadline;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b4d0e58037c14c25b00c625135895491
sam-e7897ffdf54e429aa4459d960723496b,Biocontainment Facility Operational Readiness and Commissioning,Federal,"AGRICULTURE, DEPARTMENT OF.AGRICULTURAL RESEARCH SERVICE.USDA ARS AFM APD",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/e7897ffdf54e429aa4459d960723496b/view,Sources Sought,2026-07-22,2026-07-15,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,73,Monitor,Unreviewed,Procurement;Medicaid,MMIS;sources sought,Past deadline;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e7897ffdf54e429aa4459d960723496b
sam-ae7b517543d94b4c8fb8096b82e7e6cd,ICE Medical Claims,Federal,"HOMELAND SECURITY, DEPARTMENT OF.US IMMIGRATION AND CUSTOMS ENFORCEMENT.DETENTION COMPLIANCE AND REMOVALS",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/ae7b517543d94b4c8fb8096b82e7e6cd/view,Sources Sought,2026-07-24,2026-07-17,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,69,Monitor,Unreviewed,Procurement;Medicaid,claims;sources sought,Past deadline;Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ae7b517543d94b4c8fb8096b82e7e6cd
opp-002,Frontier Telehealth Access Grant,Montana,Montana Office of Rural Health,Rural Health Office,https://example.com/montana-grant,https://example.com/montana-grant.pdf,RFA,2026-07-24,2026-06-28,2026-07-02T09:10:00Z,2026-07-02T09:10:00Z,850000,Review Needed,"Prime eligibility may be limited to provider organizations, but vendor partnership language is present.",68,Monitor,Monitor,Telehealth;Rural Access,telehealth;frontier counties;access gaps,Prime applicant eligibility may exclude vendors,This grant has a moderate fit if pursued through a provider or regional health partner.
sam-b8f6a765547c4361b203a49d4ea1b26d,7A20--NEW- Contract Management Solution (CMS)(VA-26-00066426),Federal,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.TECHNOLOGY ACQUISITION CENTER NJ (36C10B)",SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/b8f6a765547c4361b203a49d4ea1b26d/view,Sources Sought,,2026-07-21,2026-07-26T14:18:20Z,2026-07-26T14:18:20Z,0,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,67,Monitor,Unreviewed,Procurement;CMS/Medicare,CMS;sources sought,Budget not explicitly stated,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b8f6a765547c4361b203a49d4ea1b26d
sam-4fc632176ba74591b081e03cb41bf391,D--GLINDA 2.0 SNCC BPA CALL,Federal,NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/4fc632176ba74591b081e03cb41bf391/view,Award Notice,,2026-07-23,2026-07-26T14:18:24Z,2026-07-26T14:18:24Z,139923251,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,57,Monitor,Unreviewed,Medicaid,MMIS,"Policy signal, not a direct procurement",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4fc632176ba74591b081e03cb41bf391
